±ø½X	²Õ¥ó¥N½X	²Õ¥ó±ø½X	¸j©w®É¶¡	¸j©w¤H­û
516-22011400300037	SPPN	M06-01213-G4_A04	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	YB ABB-FLB	7C-0030-00R03	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	YB U2BP PN	7C-0032-01-01	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	YB U2BP PN2	7C-0032-01-01	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	YB KSB PN	7C-0031-00-01	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	YB KSB PN2	7C-0031-00-01	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	ATHENA MBPN	7C-0022-02-03	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	ABB-FLB	505-21050700410080	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	ATHENA MBSN	505-21072000110069	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	MBSN	84183-2149-00069	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	KSB PN	89082-2204-00022	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	KSB SN	505-21102704310022	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	U2BP PN	78626-2152-00063	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	U2BP SN	505-21050700710063	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	KSB PN2	89082-2204-00080	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	KSB SN2	505-21102704310080	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	U2BP PN2	78626-2152-00085	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	U2BP SN2	505-21050700710085	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	YB BLADE SN	C0-0019-14-01TBA2204AC23B94	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	KSB1 DIMM0	NCA12107020240104	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	KSB1 DIMM1	NCA12107020240042	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	KSB2 DIMM1	NCA12107020240103	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300037	KSB2 DIMM0	NCA12107020240041	2022-2-17 18:35:10	¼Úªø®Ë
516-22011400300049	SPPN	M06-01213-G4_A04	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	YB ABB-FLB	7C-0030-00R03	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	YB U2BP PN	7C-0032-01-01	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	YB U2BP PN2	7C-0032-01-01	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	YB KSB PN	7C-0031-00-01	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	YB KSB PN2	7C-0031-00-01	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	ATHENA MBPN	7C-0022-02-03	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	ABB-FLB	505-21050700410100	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	ATHENA MBSN	505-21072000110034	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	MBSN	84183-2149-00034	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	KSB PN	89082-2204-00002	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	KSB SN	505-21102704310002	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	U2BP PN	78626-2152-00057	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	U2BP SN	505-21050700710057	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	KSB PN2	89082-2204-00072	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	KSB SN2	505-21102704310072	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	U2BP PN2	78626-2152-00035	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	U2BP SN2	505-21050700710035	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	YB BLADE SN	C0-0019-14-01TBA2204AC239F0	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	KSB1 DIMM0	NCA12107020240090	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	KSB1 DIMM1	NCA12107020240048	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	KSB2 DIMM1	NCA12107020240089	2022-2-17 18:18:47	¼Úªø®Ë
516-22011400300049	KSB2 DIMM0	NCA12107020240047	2022-2-17 18:18:47	¼Úªø®Ë
